# SKA1-low layout: /home/aly/syncthing/git/fg21sim/fg21sim/uvsim/ska1low.layout.txt
# All stations layout
# East[m]   North[m]   Up[m]
1.085228560990591973e+02 -1.396138799074696522e+02 0.000000000000000000e+00
-5.251774315629971568e+01 7.949943844156089767e+01 0.000000000000000000e+00
6.712021303303033903e+01 -5.278123455215475701e+01 0.000000000000000000e+00
-1.170528366291594011e+02 -4.887697950535815750e+01 0.000000000000000000e+00
2.862961569364068026e+01 9.353768390415343248e+00 0.000000000000000000e+00
-1.873870794814725826e+01 1.621524626577989068e+02 0.000000000000000000e+00
-1.648197837046937053e+01 6.117198339163306287e+01 0.000000000000000000e+00
-6.779626742681725382e+00 -3.776201280309006592e+01 0.000000000000000000e+00
9.795740571903021987e+01 5.836281474851700324e+01 0.000000000000000000e+00
-1.319252693226043220e+02 4.741649818715801246e+01 0.000000000000000000e+00
-8.685337973508919163e+01 4.877863018157496811e+01 0.000000000000000000e+00
1.424137277722929298e+02 1.220351539962840235e+02 0.000000000000000000e+00
-1.232654104416536001e+00 -9.207766049419994658e+01 0.000000000000000000e+00
3.269521842028473202e+01 -6.798185709551353284e+01 0.000000000000000000e+00
-3.918679993922420834e+01 1.368826604676829817e+01 0.000000000000000000e+00
-1.825037792234902838e+02 3.822415063713307415e+00 0.000000000000000000e+00
3.526035372493022635e+01 8.043244082986190335e+01 0.000000000000000000e+00
1.378800307762645332e+02 6.399222840202772744e+01 0.000000000000000000e+00
-4.166187597341674120e+01 -4.498518225158828443e+01 0.000000000000000000e+00
4.575756914415863719e+01 -2.147659628739289062e+01 0.000000000000000000e+00
1.463093288789217752e+02 1.484756290591652395e+01 0.000000000000000000e+00
1.704348886519160544e+02 -4.931746653966310845e+01 0.000000000000000000e+00
7.110622080154243463e+01 -9.697082327718661077e+01 0.000000000000000000e+00
-4.377986824467113536e+01 1.287836472589385153e+02 0.000000000000000000e+00
9.488623888788568195e+01 1.334259179675390783e+02 0.000000000000000000e+00
-8.203274078611347875e+01 1.538576661005643871e+02 0.000000000000000000e+00
9.503522003040011157e+00 1.157723873403360813e+02 0.000000000000000000e+00
2.563707732042141174e+01 -1.609326194297735810e+02 0.000000000000000000e+00
-4.599583992737466076e+01 -1.062026280570708252e+02 0.000000000000000000e+00
6.204127564355017910e+01 1.112393796371859480e+02 0.000000000000000000e+00
9.841365138203089202e+01 -7.433662310310322141e+01 0.000000000000000000e+00
6.343329054704550174e+01 1.681976058497470490e+02 0.000000000000000000e+00
-5.863032957654158395e+01 -1.494205273987544444e+02 0.000000000000000000e+00
1.773850605899873756e+02 6.153639018012894724e+01 0.000000000000000000e+00
-7.610661051314058057e+01 -6.547462258972433347e+01 0.000000000000000000e+00
-1.300249828404346033e+02 -1.060059885986694042e+02 0.000000000000000000e+00
7.079863919599223721e+01 6.748676243420227649e+00 0.000000000000000000e+00
-1.088322046111453716e+02 -2.055823478798576076e+00 0.000000000000000000e+00
6.531041256298702535e+01 -1.642301939357404308e+02 0.000000000000000000e+00
-1.812022518609328472e+02 5.411046896637112980e+01 0.000000000000000000e+00
-7.533171033094812685e+01 1.505649154409501556e+01 0.000000000000000000e+00
1.868283644667828867e+02 2.559470248753703459e+01 0.000000000000000000e+00
-1.844313981550208155e+02 -5.797009594244291719e+01 0.000000000000000000e+00
5.161295090542839148e+01 3.770761125996718732e+01 0.000000000000000000e+00
-6.078728733906927317e+01 -1.861931046680264217e+02 0.000000000000000000e+00
-1.573247798547610614e+02 9.482009583674584974e+01 0.000000000000000000e+00
1.443395633511040046e+02 -1.144436239259607646e+02 0.000000000000000000e+00
-1.600073089014803145e+02 -2.473396226468743819e+01 0.000000000000000000e+00
1.168065530505887750e+01 1.927722567242350351e+02 0.000000000000000000e+00
1.758122293927656301e+02 -9.440348533392133845e+01 0.000000000000000000e+00
3.224842610536575194e+01 1.444254238149851517e+02 0.000000000000000000e+00
-1.999079297985415593e+01 -1.382660915966385460e+02 0.000000000000000000e+00
-1.097178204493725673e+02 9.940775072200437990e+01 0.000000000000000000e+00
1.055718235255082789e+02 2.318129502178685186e+01 0.000000000000000000e+00
1.985877520222271073e+02 -1.507268302215773481e+01 0.000000000000000000e+00
-1.493700261872089925e+02 -7.661075528310776406e+01 0.000000000000000000e+00
3.911680884925736734e+01 -1.170511096957409052e+02 0.000000000000000000e+00
-9.029169635725500598e+01 -1.223653777340507389e+02 0.000000000000000000e+00
-2.972314859970003109e+00 2.660215582034273751e+01 0.000000000000000000e+00
1.233057200072234139e+02 -3.611943781331612513e+01 0.000000000000000000e+00
-1.260979685693811945e+02 -1.479274264783709611e+02 0.000000000000000000e+00
-9.592774370162555897e+01 -1.683377748785867425e+02 0.000000000000000000e+00
-7.596767517478804166e+01 -2.633424782223544014e+01 0.000000000000000000e+00
-1.195697058138669036e+02 1.462619750623051118e+02 0.000000000000000000e+00
-5.255795569105136877e+01 1.873218642010649830e+02 0.000000000000000000e+00
-8.181179990365677668e+00 -1.917053005198552569e+02 0.000000000000000000e+00
-1.443608417172799250e+02 7.685423738623444301e+00 0.000000000000000000e+00
